t,H_prot_mean,H_prot_std,H_na_mean,H_na_std,n
0.001,2.340727519989014,0.010149773904601034,1.3080042123794555,0.006251482691122027,5
0.11188888888888888,2.3340750217437742,0.012200178441623357,1.271532130241394,0.040718337915457446,5
0.22277777777777777,2.3162961483001707,0.021311724080504392,1.27371985912323,0.03783529824772853,5
0.33366666666666667,2.3290188789367674,0.03394262245808234,1.2622311592102051,0.07133170456914877,5
0.44455555555555554,2.3039487838745116,0.06140544989079879,1.222122323513031,0.11563853583267145,5
0.5554444444444444,2.339697980880737,0.022488627440728402,1.198639988899231,0.1085162762330642,5
0.6663333333333333,2.4130613803863525,0.15209404924553635,1.1085623651742935,0.17356880761887974,5
0.7772222222222221,2.360255718231201,0.05535095013372035,1.1018958389759064,0.17283005475923394,5
0.8881111111111111,2.334978723526001,0.09133628959565197,1.1123333871364594,0.16388255164992763,5
0.999,2.5809565782546997,0.22433435916900635,,,2
