t,H_prot_mean,H_prot_std,H_na_mean,H_na_std,n
0.001,1.9405337810516357,0.031446597873595564,1.112304139137268,0.10030369800934325,5
0.11188888888888888,1.9347551822662354,0.03260614276510609,1.0314608216285706,0.15808785481944884,5
0.22277777777777777,1.9057686567306518,0.04430873445382743,0.9848653078079224,0.1612155078517236,5
0.33366666666666667,1.9001392126083374,0.05474242700578675,0.9745900750160217,0.18290741169184838,5
0.44455555555555554,1.875955581665039,0.06600891084067952,0.9943256139755249,0.23624265151033907,5
0.5554444444444444,1.9510649919509888,0.13097820388312495,0.8676225900650024,0.29493348736384795,5
0.6663333333333333,1.9600723743438722,0.18211801819551232,0.6687138006091118,0.36054474326308866,5
0.7772222222222221,1.9187399387359618,0.07230966681558743,0.8789457008242607,0.34311508142193237,5
0.8881111111111111,1.8434952974319458,0.06926948814668078,0.7363198101520538,0.33684744826545393,5
0.999,2.064629077911377,0.038240909576416016,,,2
