t,H_na_mean,H_na_std,H_neural_mean,H_neural_std,C_t_neural,n_examples
0.001,291.43745144211886,274.67057889653614,24.767382768429474,19.872413484952656,0.0,63
0.001975562072336266,264.98941156360996,250.006700341704,24.70690081195852,19.872061609130654,0.024132617308517703,63
0.002951124144672532,249.1967585180642,234.38024276205982,24.6870563749695,19.79250225403096,0.04822605292560185,63
0.003926686217008798,238.2981585166432,224.4313019554684,24.71796417272196,19.85147006697481,0.07232488504026269,63
0.004902248289345063,229.69372452343478,215.85113989295647,24.680720642071304,19.78285641787915,0.09642062670456555,63
0.00587781036168133,222.51308490038735,209.84995944567183,24.674319676293898,19.850772624210773,0.12049507941117772,63
0.006853372434017595,217.79370419225864,204.52976211643355,24.850608043650205,19.971545752793766,0.14465239997056395,63
0.00782893450635386,211.99104512922747,197.91995387592698,24.758850649152638,19.718654921655492,0.16885095313547951,63
0.008804496578690127,206.5764280091614,193.6767088601301,24.651233442142434,19.829628362759788,0.19295225515068604,63
0.009780058651026394,203.302223275589,189.46184304879037,24.768745549648706,19.721639740364374,0.2170583837107093,63
0.010755620723362658,199.25547807932256,186.85525431005073,24.626735901925304,19.949203580273387,0.24115256283518183,63
0.011731182795698927,196.51087056916109,184.33633483524773,24.7483589959811,19.963461977934937,0.26523679778538256,63
0.012706744868035191,192.42934694210234,179.34903545995104,24.612877047802,19.680243309589596,0.28931427264935883,63
0.013682306940371456,189.98724496018,177.27841144431318,24.691043189310218,19.84346592515945,0.3133637899497684,63
0.014657869012707724,186.977811616751,174.75649618321427,24.6946455496226,19.99493256564881,0.337453192374722,63
0.01563343108504399,183.75104706030206,171.5488803090847,24.63427483796239,19.90355384563548,0.3615149042744335,63
0.016608993157380254,181.76462635534529,170.6759076420687,24.52612944160648,19.77089730051368,0.3854944172123659,63
0.017584555229716522,180.33331482201734,167.7460964037521,24.723235164375314,19.847399389053145,0.4095173233104939,63
0.018560117302052787,178.06366238250882,167.5935812123976,24.68464965664637,19.97260841615938,0.4336175525633676,63
0.019535679374389055,175.22389618033182,162.98572997626798,24.60037621419516,19.623812338663768,0.45765785355022,63
0.02051124144672532,174.32233862023733,164.38361097331375,24.774293382003233,20.21274423790549,0.4817418810463128,63
0.021486803519061584,172.33559033075485,159.8910104264435,24.662062473698555,19.773005717865722,0.5058559979299836,63
0.022462365591397852,169.8173239707116,157.22329025771697,24.550370490513945,19.60918501715533,0.529860889473622,63
0.023437927663734117,168.9916476436524,158.1142424662133,24.710878784127022,19.87634415758733,0.553889592687743,63
0.024413489736070382,166.75357786568824,155.65929340517718,24.66641195461645,19.824749038077048,0.5779748987274623,63
0.02538905180840665,164.9833521411345,152.2797681479175,24.541299330174617,19.542870761372164,0.6019774871254201,63
0.026364613880742915,163.90754203292877,154.28645687298618,24.522314772045195,19.955670662158592,0.6259097876503543,63
0.02734017595307918,163.29835052780993,153.1619587267885,24.808768919551074,20.060437071095063,0.649972554768738,63
0.028315738025415448,160.97481152924288,149.3853533187256,24.670050446461417,19.893875848428177,0.6741073845474675,63
0.029291300097751712,159.3929977648347,149.36430966215238,24.526164555892336,19.812085665875816,0.6981043652768659,63
0.030266862170087977,158.2812574583843,146.4003551780004,24.580993164305212,19.55153970738912,0.7220579055528957,63
0.031242424242424245,155.90187301053308,145.89009642279595,24.34329548237982,19.761766765206474,0.7459222457627647,63
0.032217986314760506,156.5799457986199,147.2633948685322,24.711325895504917,20.158059550073283,0.7698501598073046,63
0.033193548387096775,155.18854369961127,143.14143368366484,24.660067384812024,19.67484471078305,0.7939325891786421,63
0.03416911045943304,153.52198089996457,142.49508601792263,24.517584755093424,19.79560840303141,0.8179205152957612,63
0.03514467253176931,151.48845930302215,140.76999486553885,24.40695218940657,19.672401734873564,0.8417849766205955,63
0.03612023460410557,150.91399940304473,141.67978178004503,24.523789133765373,19.819765689683607,0.865652464323687,63
0.03709579667644184,149.18505930511782,139.09030060440827,24.32299005774308,19.730167876915196,0.889478996891197,63
0.03807135874877811,149.73884822025624,139.32766252859096,24.77287570431886,19.89723581591584,0.9134270291641872,63
0.03904692082111437,147.99022542334293,138.58999813570105,24.445844644665915,19.857382534604643,0.9374349875748844,63
0.04002248289345064,147.18505666319382,138.3575084776164,24.402024459450043,19.884987898956215,0.9612620517810955,63
0.040998044965786906,146.21162937590267,136.382077413222,24.43111030989737,20.01383402953285,0.9850819288582259,63
0.04197360703812317,144.40992817872123,135.18604485328387,24.43880867333872,19.910237964383764,1.0089197485773214,63
0.042949169110459436,144.45499514146655,133.9690041555021,24.407747848359044,19.443191074987535,1.0327461725307203,63
0.043924731182795704,141.9888383020279,134.02340262183867,24.211250135485216,20.22551749663754,1.0564615977447362,63
0.044900293255131965,141.3989564279796,132.16952516311645,24.33008969814827,19.826880520083424,1.0801391427857754,63
0.04587585532746823,141.02018096524145,131.21158886154785,24.442229110780882,19.769112037434578,1.1039293549907174,63
0.0468514173998045,140.73557500011526,130.1562933452658,24.485384627125583,19.750200993210136,1.1277953171170276,63
0.04782697947214076,138.85201403655338,127.70262329589177,24.265688914894277,19.563349453506437,1.1515751662836629,63
0.04880254154447703,139.07769678960892,130.2157188203586,24.493646487143856,19.901621964524832,1.1753590454289387,63
0.0497781036168133,139.14903700292726,129.78692916377295,24.66022902676843,20.2601408667982,1.1993353737587942,63
0.05075366568914956,138.31086549905632,128.90457769821404,24.645474607173462,19.985677407332542,1.2233857609663572,63
0.05172922776148583,135.9762013587781,125.57797179091531,24.288061775474944,19.611729164802803,1.2472546120464565,63
0.0527047898338221,136.1644000934019,125.73060455913324,24.58649202477045,19.8139159455507,1.2710946925413955,63
0.05368035190615836,136.08713070665033,125.56651418184362,24.70994865537621,19.857560667720016,1.2951405614557583,63
0.054655913978494626,133.68448438821878,124.3679088971619,24.27234181007504,19.71007698030639,1.3190331938528845,63
0.055631476050830894,134.4883589558937,124.4882832979553,24.68310851697011,19.858733275579407,1.3429127341394882,63
0.056607038123167155,132.37496237450603,123.1944831031547,24.259796536545643,19.508424035423932,1.3667861550795706,63
0.057582600195503424,132.69322393629076,123.57419631209387,24.409993696668593,19.766656833710368,1.3905263557896135,63
0.05855816226783969,131.34559125746395,119.6517403262634,24.437872926352973,19.373436624737163,1.4143534187855937,63
0.05953372434017595,130.0582132098611,121.58509990347518,24.13541072902949,19.764044924195783,1.4380465454171047,63
0.06050928641251222,129.80389306311355,120.19412491973218,24.296441768890332,19.78347675924459,1.4616706846120824,63
0.06148484848484849,129.9974062935165,120.51036416522321,24.575267396832864,20.02531723580059,1.4855093775482466,63
0.06246041055718475,128.0093845443753,117.27456065232103,24.13627632808017,19.449279551302034,1.509269944819734,63
0.06343597262952101,128.24769094564655,121.17160354010774,24.53626552029695,20.2142856172881,1.5330114877154721,63
0.06441153470185729,129.22472470871,120.57107172838845,24.89892245663329,20.435383471162424,1.5571250349300259,63
0.06538709677419355,127.68623098202333,118.11339745703488,24.556521384977902,19.717880004838747,1.5812484625712417,63
0.06636265884652982,126.39127829715228,117.53083212805038,24.443419695090423,20.017233810134687,1.605149704603455,63
0.06733822091886608,125.91951090240863,115.33412952940162,24.379201822075647,19.70161604555153,1.6289644535155428,63
0.06831378299120235,124.68483150842697,114.30845366858976,24.34718508858865,19.512875020892107,1.6527322610115558,63
0.06928934506353862,125.46441762049812,117.03581245332326,24.49939549906499,20.146824897727573,1.676558696703872,63
0.07026490713587488,124.08409850559465,112.10234632268144,24.347500568413228,19.31373084559845,1.7003852862812634,63
